Name,Nationality,Team,Position,Age,Games,Games_starts,Minutes,Goals,Assists,Cards_yellow,Cards_red,Xg,Xg_assist,Progressive_carries,Progressive_passes,Progressive_passes_received,Goals_per90,Assists_per90,Xg_per90,Xg_assist_per90,Gk_goals_against_per90,Gk_save_pct,Gk_clean_sheet_pct,Gk_pens_save_pct,Shots_on_target_pct,Shots_per90,Goals_per_shot,Average_shot_distance,Passes_completed,Passes_pct,Passes_total_distance,Passes_pct_short,Passes_pct_medium,Passes_pct_long,Assisted_shots,Passes_into_final_third,Passes_into_penalty_area,Crosses_into_penalty_area,Progressive_passes.1,Sca,Sca_per90,Gca,Gca_per90,Tackles,Tackles_won,Challenge_tackles,Challenges_lost,Blocks,Blocked_shots,Blocked_passes,Interceptions,Touches,Touches_def_pen_area,Touches_def_3rd,Touches_mid_3rd,Touches_att_3rd,Touches_att_pen_area,Take_ons,Take_ons_won_pct,Take_ons_tackled_pct,Carries,Carries_progressive_distance,Progressive_carries.1,Carries_into_final_third,Carries_into_penalty_area,Miscontrols,Dispossessed,Passes_received,Progressive_passes_received.1,Fouls,Fouled,Offsides,Crosses,Ball_recoveries,Aerials_won,Aerials_lost,Aerials_won_pct,Price
Matt O'Riley,DK,Brighton,MF,24-171,19,11,905,1,1,1,0,2.0,1.7,20,36,49,0.1,0.1,0.2,0.17,,,,,28.6,2.09,0.05,17.0,301,76.4,4765,88.4,81.7,46.8,19,30,8,1,36,38,3.78,4,0.4,16,9,4,9,7,3,4,13,503,19,76,228,201,42,13,61.5,30.8,259,518,20,11,8,17,3,291,49,15,13,1,46,28,5,8,38.5,€29.5M
Dara O'Shea,IE,Ipswich Town,DF,26-068,33,33,2942,0,2,6,0,1.2,0.5,3,73,8,0.0,0.06,0.04,0.02,,,,,10.0,0.61,0.0,13.6,1146,77.7,22826,86.7,85.3,49.2,3,83,3,1,73,22,0.67,4,0.12,47,30,20,11,61,49,12,31,1892,377,1104,673,120,48,2,50.0,50.0,826,1837,3,2,0,11,4,1082,8,18,22,3,7,106,105,79,57.1,€14.2M
Caleb Okoli,IT,Leicester City,DF,23-302,18,12,1124,1,0,4,0,0.6,0.0,3,32,2,0.08,0.0,0.05,0.0,,,,,50.0,0.32,0.25,13.5,558,86.4,9738,91.3,91.0,55.4,0,21,1,0,32,4,0.32,0,0.0,25,14,11,7,24,14,10,15,804,152,450,324,35,10,0,,,467,1106,3,6,0,10,2,483,2,16,9,0,1,44,23,21,52.3,€14M
Amadou Onana,BE,Aston Villa,MF,23-268,24,18,1468,3,0,4,0,2.1,0.3,24,63,15,0.18,0.0,0.13,0.02,,,,,35.3,1.04,0.18,14.7,637,87.6,9995,92.9,89.3,69.2,8,58,9,1,63,29,1.78,4,0.25,49,24,14,13,15,7,8,25,912,70,252,536,140,22,18,66.7,16.7,496,1400,24,22,1,11,9,610,15,31,28,0,1,70,30,19,61.2,€59.4M
Aaron Ramsdale,ENG,Southampton,GK,26-362,28,28,2520,0,0,2,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,2.21,67.8,,28.6,,0.0,,,737,63.9,20926,99.5,96.3,38.2,0,33,1,0,0,3,0.11,0,0.0,0,0,0,2,0,0,0,2,1240,896,1214,30,0,0,0,,,745,2239,0,0,0,3,0,665,0,1,4,0,0,20,6,0,100.0,€21.4M
David Raya,ES,Arsenal,GK,29-238,35,35,3150,0,0,2,0,0.0,0.0,0,13,0,0.0,0.0,0.0,0.0,0.89,74.1,,0.0,,0.0,,,979,74.6,23137,98.9,98.3,38.2,0,41,2,0,13,4,0.11,1,0.03,0,0,0,2,0,0,0,2,1367,802,1284,83,0,0,1,100.0,0.0,856,2563,0,0,0,1,0,789,0,1,9,0,0,38,10,0,100.0,€31.9M
Emile Smith Rowe,ENG,Fulham,MF,24-287,32,24,1948,6,3,2,0,4.4,1.4,52,121,121,0.28,0.14,0.2,0.06,,,,,28.6,1.62,0.17,15.6,880,90.1,12546,92.3,94.9,71.4,21,78,15,1,121,68,3.14,12,0.55,31,18,8,16,21,2,19,11,1170,20,158,561,461,58,33,48.5,45.5,756,1903,52,40,12,35,16,902,121,18,14,4,15,73,6,17,26.1,€31.8M
Georginio Rutter,FR,Brighton,MFFW,23-021,28,19,1656,5,3,2,0,4.6,2.5,42,67,79,0.27,0.16,0.25,0.14,,,,,24.0,2.72,0.1,15.5,237,66.8,3344,77.0,66.7,62.5,19,30,16,1,67,64,3.47,8,0.43,39,15,14,22,20,3,17,10,641,20,83,246,326,79,71,38.0,47.9,361,1405,42,36,16,45,37,411,79,34,45,7,9,66,25,46,35.2,€46.7M
Oliver Skipp,ENG,Leicester City,MF,24-237,21,8,996,0,0,8,0,0.2,0.3,16,31,19,0.0,0.0,0.01,0.02,,,,,25.0,0.36,0.0,21.0,392,85.0,5965,88.5,93.3,59.4,9,30,4,0,31,14,1.27,0,0.0,20,4,9,6,17,4,13,10,557,24,121,350,90,7,11,54.5,45.5,321,629,16,7,3,11,5,390,19,19,13,0,5,40,10,6,62.5,€23.5M
Dominic Solanke,ENG,Tottenham,FW,27-239,25,24,2119,8,3,0,0,10.1,2.9,29,45,88,0.34,0.13,0.43,0.13,,,,,40.7,2.51,0.14,12.1,250,71.0,3344,76.1,77.1,66.7,14,27,9,0,45,37,1.57,8,0.34,18,11,4,10,18,7,11,0,636,31,68,290,284,111,50,32.0,62.0,374,803,29,21,14,67,47,448,88,36,36,5,4,37,44,59,42.7,€64.3M
Yukinari Sugawara,JP,Southampton,DFMF,24-317,29,15,1467,1,1,4,0,0.5,2.2,32,68,76,0.06,0.06,0.03,0.14,,,,,38.5,0.8,0.08,19.2,689,79.9,10831,88.2,82.9,47.9,17,43,21,9,68,39,2.39,1,0.06,29,16,18,12,17,7,10,10,1023,61,306,395,327,29,20,45.0,50.0,553,1354,32,15,7,18,4,692,76,15,9,4,69,40,5,9,35.7,€7M
Sávio,BR,Manchester City,FWMF,21-031,28,21,1749,1,8,3,0,5.1,6.9,135,66,244,0.05,0.41,0.26,0.36,,,,,38.2,2.83,0.02,17.6,689,80.9,10261,89.9,80.2,56.4,46,19,47,8,66,111,5.71,15,0.77,23,17,10,9,14,2,12,6,1091,14,55,283,772,153,113,46.0,35.4,779,3538,135,44,74,42,38,847,244,17,27,3,84,79,1,2,33.3,€25M
Leny Yoro,FR,Manchester Utd,DF,19-179,20,11,1114,0,0,5,0,0.7,0.1,19,52,4,0.0,0.0,0.06,0.01,,,,,20.0,0.4,0.0,8.6,667,92.1,10721,95.3,93.9,65.0,2,43,5,1,52,8,0.65,0,0.0,26,11,11,6,5,3,2,18,847,83,395,385,70,13,4,50.0,50.0,577,1646,19,13,1,3,4,615,4,9,2,1,1,45,16,15,51.6,€62M
Joshua Zirkzee,NL,Manchester Utd,FWMF,23-354,32,14,1402,3,1,2,0,4.8,1.5,14,44,69,0.19,0.06,0.31,0.1,,,,,39.3,1.8,0.11,13.1,292,71.2,3600,78.1,74.4,50.0,12,26,6,0,44,31,1.99,3,0.19,14,8,5,5,15,4,11,6,587,16,71,303,219,56,35,31.4,68.6,327,523,14,21,4,41,30,418,69,9,13,3,4,57,21,54,28.0,€42.5M
