Name,Nationality,Team,Position,Age,Games,Games_starts,Minutes,Goals,Assists,Cards_yellow,Cards_red,Xg,Xg_assist,Progressive_carries,Progressive_passes,Progressive_passes_received,Goals_per90,Assists_per90,Xg_per90,Xg_assist_per90,Gk_goals_against_per90,Gk_save_pct,Gk_clean_sheet_pct,Gk_pens_save_pct,Shots_on_target_pct,Shots_per90,Goals_per_shot,Average_shot_distance,Passes_completed,Passes_pct,Passes_total_distance,Passes_pct_short,Passes_pct_medium,Passes_pct_long,Assisted_shots,Passes_into_final_third,Passes_into_penalty_area,Crosses_into_penalty_area,Progressive_passes,Sca,Sca_per90,Gca,Gca_per90,Tackles,Tackles_won,Challenge_tackles,Challenges_lost,Blocks,Blocked_shots,Blocked_passes,Interceptions,Touches,Touches_def_pen_area,Touches_def_3rd,Touches_mid_3rd,Touches_att_3rd,Touches_att_pen_area,Take_ons,Take_ons_won_pct,Take_ons_tackled_pct,Carries,Carries_progressive_distance,Progressive_carries,Carries_into_final_third,Carries_into_penalty_area,Miscontrols,Dispossessed,Passes_received,Progressive_passes_received,Fouls,Fouled,Offsides,Crosses,Ball_recoveries,Aerials_won,Aerials_lost,Aerials_won_pct
Kevin Danso,AT,Tottenham,DF,26-228,7,6,572,0,0,0,0,0.4,0.1,11,17,1,0.0,0.0,0.06,0.01,N/a,N/a,N/a,N/a,33.3,0.94,0.0,17.5,373,86.7,6976,89.4,92.2,55.6,2,22,2,1,17,7,1.1,2,0.31,6,5,5,3,7,7,0,3,508,62,276,210,25,7,3,66.7,33.3,341,1015,11,5,0,7,1,363,1,7,9,0,1,22,18,9,66.7
Ben Davies,WLS,Tottenham,DF,32-011,14,12,1126,0,0,4,0,0.3,0.2,14,50,6,0.0,0.0,0.02,0.02,N/a,N/a,N/a,N/a,20.0,0.4,0.0,17.0,797,88.0,14950,90.8,94.3,63.1,2,43,2,0,50,8,0.64,0,0.0,14,10,7,7,24,16,8,12,1045,178,549,451,45,12,1,100.0,0.0,588,1701,14,10,0,4,0,699,6,14,6,0,4,36,47,38,55.3
Leif Davis,ENG,Ipswich Town,DF,25-113,31,30,2563,1,2,5,1,0.9,4.3,48,55,117,0.04,0.07,0.03,0.15,N/a,N/a,N/a,N/a,14.3,0.49,0.07,20.4,854,71.5,14708,86.0,77.4,37.3,54,30,26,11,55,85,2.98,4,0.14,45,26,29,17,24,8,16,25,1459,115,517,484,477,36,37,35.1,45.9,659,1940,48,27,10,36,14,770,117,25,30,3,148,111,33,22,60.0
Craig Dawson,ENG,Wolves,DF,34-364,15,10,971,0,0,2,0,0.5,0.0,6,20,5,0.0,0.0,0.05,0.0,N/a,N/a,N/a,N/a,20.0,0.46,0.0,8.5,484,86.6,9745,92.5,93.0,60.0,2,22,1,0,20,7,0.65,2,0.19,15,3,12,3,16,11,5,9,671,130,396,249,28,14,5,20.0,40.0,390,938,6,1,0,2,0,443,5,6,5,2,0,35,21,11,65.6
Liam Delap,ENG,Ipswich Town,FW,22-086,34,31,2491,12,2,10,0,9.3,1.9,60,30,105,0.43,0.07,0.34,0.07,N/a,N/a,N/a,N/a,43.8,2.31,0.16,16.0,211,61.2,2913,70.7,63.5,39.1,21,16,6,0,30,62,2.24,7,0.25,10,7,2,12,8,0,8,2,659,29,78,277,326,89,84,46.4,42.9,436,1570,60,46,29,99,58,519,105,67,50,13,5,66,53,69,43.4
Justin Devenny,NIR,Crystal Palace,MF,21-206,20,4,429,1,0,1,0,0.7,0.4,4,16,12,0.21,0.0,0.14,0.09,N/a,N/a,N/a,N/a,50.0,1.68,0.13,21.2,120,70.6,1883,80.5,69.0,38.1,6,15,4,1,16,11,2.3,0,0.0,14,9,7,7,3,0,3,0,232,7,42,115,80,7,4,50.0,50.0,109,274,4,5,1,16,2,140,12,7,0,1,17,21,2,13,13.3
Kiernan Dewsbury-Hall,ENG,Chelsea,MFFW,26-241,12,2,259,0,1,0,0,0.2,1.1,5,14,11,0.0,0.35,0.08,0.37,N/a,N/a,N/a,N/a,0.0,0.35,0.0,7.8,127,83.6,1898,91.5,83.9,50.0,3,12,3,0,14,5,1.73,1,0.35,8,5,4,2,2,0,2,1,181,4,28,95,58,6,4,50.0,50.0,93,221,5,1,0,1,3,137,11,4,6,0,2,9,0,1,0.0
Amad Diallo,CI,Manchester Utd,FWMF,22-298,23,17,1639,7,6,3,0,4.2,4.0,93,55,163,0.38,0.33,0.23,0.22,N/a,N/a,N/a,N/a,32.6,2.36,0.16,18.0,676,82.9,9329,90.5,85.3,53.1,40,25,30,5,55,83,4.56,17,0.93,35,28,17,11,11,0,11,11,1042,13,154,381,523,112,77,49.4,45.5,678,2355,93,48,54,36,32,731,163,19,24,9,38,99,9,15,37.5
Rúben Dias,PT,Manchester City,DF,27-356,24,22,2001,0,0,4,0,1.4,0.3,35,122,6,0.0,0.0,0.06,0.01,N/a,N/a,N/a,N/a,27.8,0.81,0.0,19.2,1943,93.6,33548,97.0,96.3,66.9,5,189,5,0,122,22,0.99,1,0.04,16,10,7,4,17,14,3,18,2230,195,749,1231,255,22,3,66.7,33.3,1592,5295,35,54,1,7,1,1815,6,12,8,0,3,68,30,31,49.2
Tyler Dibling,ENG,Southampton,FWMF,19-054,31,18,1742,2,0,6,0,2.5,1.5,68,61,93,0.1,0.0,0.13,0.08,N/a,N/a,N/a,N/a,32.1,1.45,0.07,19.3,472,80.7,7050,90.2,85.1,43.5,20,25,20,1,61,56,2.89,4,0.21,34,20,16,10,19,5,14,8,823,25,110,372,360,41,104,42.3,36.5,533,2129,68,49,26,41,53,617,93,28,49,2,28,75,10,21,32.3
Lucas Digne,FR,Aston Villa,DF,31-289,31,27,2261,0,4,4,0,0.8,4.4,23,55,140,0.0,0.16,0.03,0.17,N/a,N/a,N/a,N/a,23.1,0.52,0.0,22.7,932,75.2,15153,88.2,78.8,40.1,35,43,29,18,55,63,2.51,5,0.2,63,37,43,21,23,4,19,25,1485,93,520,449,526,28,19,47.4,47.4,672,1328,23,14,4,17,16,808,140,20,14,7,138,100,35,27,56.5
Virgil van Dijk,NL,Liverpool,DF,33-301,35,35,3150,3,1,4,0,2.2,0.7,18,180,6,0.09,0.03,0.06,0.02,N/a,N/a,N/a,N/a,29.6,0.77,0.11,13.1,2543,91.6,46352,96.1,95.5,67.2,12,269,6,0,180,47,1.34,4,0.11,35,17,11,9,25,14,11,54,3125,425,1257,1719,159,48,5,60.0,40.0,1746,4531,18,22,3,9,5,2153,6,16,12,0,1,110,111,46,70.7
Issa Diop,FR,Fulham,DF,28-116,21,15,1339,0,0,2,0,0.5,0.1,6,25,3,0.0,0.0,0.04,0.01,N/a,N/a,N/a,N/a,40.0,0.34,0.0,10.7,663,87.5,12350,92.5,92.9,52.9,3,43,1,0,25,6,0.4,0,0.0,26,12,13,5,10,7,3,9,903,125,498,381,26,13,2,50.0,50.0,533,1216,6,2,0,9,2,617,3,10,4,0,1,45,20,12,62.5
Axel Disasi,FR,Chelsea,DF,27-055,6,4,364,1,0,1,0,0.3,0.1,6,16,2,0.25,0.0,0.07,0.02,N/a,N/a,N/a,N/a,50.0,0.49,0.5,12.3,266,90.8,4218,94.4,92.9,69.2,2,20,2,0,16,2,0.49,0,0.0,7,4,6,5,4,1,3,2,323,17,110,175,40,2,1,100.0,0.0,196,519,6,3,0,1,3,242,2,2,0,0,0,15,5,2,71.4
Matt Doherty,IE,Wolves,DF,33-109,28,23,1965,2,1,6,0,1.0,1.5,29,76,40,0.09,0.05,0.05,0.07,N/a,N/a,N/a,N/a,30.0,0.46,0.2,11.4,1003,82.6,18738,90.4,86.5,61.7,11,88,14,1,76,24,1.1,3,0.14,37,20,16,8,26,15,11,21,1433,123,566,705,179,25,20,55.0,30.0,754,2050,29,19,4,11,5,909,40,18,11,2,18,99,48,19,71.6
Jeremy Doku,BE,Manchester City,FWMF,22-343,26,15,1397,3,6,1,0,1.0,4.4,189,66,259,0.19,0.39,0.07,0.28,N/a,N/a,N/a,N/a,37.5,1.55,0.13,18.2,558,79.3,7829,86.2,82.4,66.7,28,12,44,5,66,68,4.38,13,0.84,28,19,7,7,10,1,9,4,944,4,42,220,705,135,185,55.1,29.2,731,4355,189,88,90,52,55,786,259,7,31,5,51,57,0,11,0.0
Nicolás Domínguez,AR,Nott'ham Forest,MFFW,26-311,30,19,1669,0,1,8,0,1.4,1.3,12,66,26,0.0,0.05,0.08,0.07,N/a,N/a,N/a,N/a,38.9,0.97,0.0,19.0,709,87.0,10239,91.8,89.8,58.3,13,71,9,1,66,31,1.67,0,0.0,75,40,29,35,34,11,23,27,1049,69,269,542,247,25,8,37.5,37.5,395,783,12,11,2,18,9,572,26,29,15,1,5,102,21,19,52.5
Patrick Dorgu,DK,Manchester Utd,DF,20-191,9,8,630,0,0,3,1,0.4,0.4,27,23,54,0.0,0.0,0.05,0.06,N/a,N/a,N/a,N/a,22.2,1.29,0.0,16.2,280,79.8,3771,88.5,73.8,35.3,7,15,7,2,23,13,1.86,1,0.14,23,17,12,5,9,0,9,4,436,15,125,149,164,23,9,33.3,33.3,243,838,27,14,4,10,9,277,54,14,20,3,28,26,12,7,63.2
Abdoulaye Doucouré,ML,Everton,MF,32-124,30,29,2425,3,1,5,1,3.9,2.3,40,78,91,0.11,0.04,0.14,0.09,N/a,N/a,N/a,N/a,31.0,1.08,0.1,13.8,676,79.6,10229,85.1,83.1,72.7,26,44,14,0,78,54,2.0,2,0.07,45,27,13,26,30,6,24,9,1090,31,218,502,385,59,43,53.5,46.5,571,1339,40,24,8,33,35,705,91,46,5,10,23,139,29,43,40.3
Cheick Doucouré,ML,Crystal Palace,MF,25-117,13,4,452,0,0,1,0,0.4,0.0,2,19,7,0.0,0.0,0.08,0.0,N/a,N/a,N/a,N/a,0.0,1.39,0.0,20.6,174,85.3,2909,89.4,89.7,80.0,1,17,3,0,19,9,1.79,3,0.6,16,8,5,6,4,0,4,11,263,11,56,165,45,4,5,40.0,40.0,133,280,2,7,1,4,7,160,7,7,7,0,1,31,5,5,50.0
Flynn Downes,ENG,Southampton,MF,26-105,24,22,1881,1,0,10,0,0.6,1.1,25,63,28,0.05,0.0,0.03,0.05,N/a,N/a,N/a,N/a,30.0,0.48,0.1,18.7,890,90.1,13048,92.7,92.1,68.8,15,54,12,0,63,30,1.44,2,0.1,44,24,14,18,24,6,18,30,1184,77,351,632,210,21,15,33.3,46.7,567,1610,25,21,4,13,17,840,28,46,35,0,3,75,14,13,51.9
Tommy Doyle,ENG,Wolves,MF,23-200,24,3,488,0,1,1,0,0.6,0.5,6,40,4,0.0,0.18,0.1,0.09,N/a,N/a,N/a,N/a,22.2,1.66,0.0,24.5,321,81.9,6591,94.1,89.0,65.6,7,44,3,0,40,17,3.13,3,0.55,11,6,6,9,11,5,6,5,463,22,128,258,80,4,9,55.6,11.1,260,578,6,3,0,9,4,303,4,5,5,0,15,43,1,6,14.3
Radu Drăgușin,RO,Tottenham,DF,23-091,16,14,1252,0,0,1,0,0.1,0.4,7,37,2,0.0,0.0,0.01,0.03,N/a,N/a,N/a,N/a,20.0,0.36,0.0,12.7,716,85.2,13638,91.0,93.0,43.9,4,52,2,1,37,8,0.58,1,0.07,10,6,6,6,22,16,6,15,961,148,510,430,30,12,2,0.0,0.0,623,1666,7,3,0,8,2,669,2,6,10,0,1,48,33,22,60.0
Lewis Dunk,ENG,Brighton,DF,33-165,25,23,2083,0,0,5,0,0.8,0.5,20,142,3,0.0,0.0,0.03,0.02,N/a,N/a,N/a,N/a,25.0,0.52,0.0,12.1,1778,91.0,32940,96.4,95.2,62.7,6,157,6,0,142,19,0.82,3,0.13,17,10,11,8,28,18,10,13,2127,258,993,1031,113,21,1,0.0,100.0,1341,3345,20,19,0,9,3,1556,3,7,11,2,5,104,51,31,62.2
Jáder Durán,CO,Aston Villa,FW,21-143,20,4,638,7,0,3,1,4.9,0.2,7,13,44,0.99,0.0,0.69,0.03,N/a,N/a,N/a,N/a,48.4,4.37,0.23,15.6,115,70.6,1558,81.0,68.0,45.5,4,10,1,0,13,18,2.54,1,0.14,8,7,1,3,5,0,5,0,263,13,36,110,122,47,14,21.4,64.3,133,267,7,7,2,16,15,192,44,14,15,5,3,19,19,19,50.0
Luis Díaz,CO,Liverpool,FW,28-112,33,26,2225,12,5,2,0,10.0,4.9,103,103,269,0.49,0.2,0.4,0.2,N/a,N/a,N/a,N/a,41.5,2.63,0.18,13.5,697,84.3,11124,88.6,86.0,82.4,54,45,43,6,103,116,4.69,16,0.65,33,21,13,21,18,0,18,7,1109,15,78,382,668,155,111,45.9,43.2,733,2803,103,53,55,51,43,878,269,48,30,10,30,98,12,33,26.7
Martin Dúbravka,SK,Newcastle Utd,GK,36-110,10,10,900,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,1.2,70.7,N/a,N/a,N/a,0.0,N/a,N/a,265,79.6,5932,100.0,100.0,40.2,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,350,262,337,14,0,0,0,N/a,N/a,202,643,0,0,0,0,0,175,0,0,1,0,0,18,4,0,100.0
Ederson,BR,Manchester City,GK,31-261,23,23,2050,0,4,3,0,0.0,1.5,0,1,0,0.0,0.18,0.0,0.07,1.1,68.5,N/a,0.0,N/a,0.0,N/a,N/a,730,88.2,17943,100.0,98.4,66.3,4,20,1,0,1,6,0.26,4,0.18,0,0,0,2,0,0,0,1,875,619,866,9,0,0,0,N/a,N/a,590,1732,0,0,0,1,0,560,0,1,0,0,0,38,4,1,80.0
Anthony Elanga,SE,Nott'ham Forest,FWMF,23-008,34,27,2142,6,9,1,0,4.0,4.7,84,52,177,0.25,0.38,0.17,0.2,N/a,N/a,N/a,N/a,50.0,1.6,0.16,17.2,452,64.9,6511,83.3,63.1,33.6,43,27,24,7,52,87,3.66,14,0.59,17,12,4,12,11,1,10,5,953,29,127,276,566,94,75,30.7,46.7,509,2210,84,42,41,67,38,637,177,8,35,14,151,82,22,33,40.0
Harvey Elliott,ENG,Liverpool,MFFW,22-031,15,1,267,0,1,1,0,0.8,0.9,8,29,25,0.0,0.34,0.28,0.29,N/a,N/a,N/a,N/a,15.4,4.38,0.0,18.0,181,81.5,3087,91.6,81.1,68.0,6,18,4,0,29,15,5.06,2,0.67,4,3,1,4,5,1,4,1,257,2,21,115,122,18,6,50.0,50.0,147,301,8,9,5,4,4,193,25,0,0,1,10,10,1,2,33.3
Julio Enciso,PY,Brighton,MFFW,21-102,12,2,294,0,0,0,0,1.0,0.2,11,14,17,0.0,0.0,0.31,0.07,N/a,N/a,N/a,N/a,55.0,6.12,0.0,21.3,99,66.0,1464,81.3,72.5,22.7,5,13,4,1,14,12,3.69,0,0.0,0,0,0,2,2,0,2,0,202,2,17,72,116,20,21,47.6,38.1,114,386,11,10,4,7,9,141,17,3,7,0,20,15,6,5,54.5
Wataru Endo,JP,Liverpool,MF,32-085,18,1,237,0,0,0,0,0.0,0.1,0,14,5,0.0,0.0,0.0,0.02,N/a,N/a,N/a,N/a,N/a,0.0,N/a,N/a,148,93.1,2295,93.8,95.1,100.0,2,14,1,0,14,6,2.26,0,0.0,11,8,6,4,7,1,6,3,196,7,49,110,38,3,2,100.0,0.0,88,84,0,0,1,6,3,138,5,14,6,0,0,12,2,3,40.0
Christian Eriksen,DK,Manchester Utd,MF,33-080,21,11,1028,0,2,4,0,0.4,2.9,12,53,29,0.0,0.18,0.03,0.25,N/a,N/a,N/a,N/a,9.1,0.96,0.0,24.9,569,79.1,9538,92.1,80.7,47.6,27,53,11,4,53,51,4.46,7,0.61,19,9,11,15,14,4,10,7,811,24,163,388,264,15,3,0.0,100.0,450,761,12,13,1,11,5,541,29,8,3,0,78,59,2,6,25.0
Pervis Estupiñán,EC,Brighton,DF,27-104,28,24,2222,1,1,5,0,1.1,2.1,55,116,107,0.04,0.04,0.04,0.08,N/a,N/a,N/a,N/a,30.4,0.93,0.04,24.5,1245,83.3,18925,93.5,83.3,49.0,24,97,32,18,116,52,2.11,4,0.16,58,39,31,15,16,2,14,34,1766,72,439,878,467,31,30,53.3,43.3,944,2388,55,55,9,31,27,1070,107,33,17,3,114,136,43,26,62.3
Evanilson,BR,Bournemouth,FW,25-211,28,25,2058,10,1,1,1,11.6,1.6,28,24,88,0.44,0.04,0.51,0.07,N/a,N/a,N/a,N/a,43.9,2.89,0.15,13.0,215,70.0,2631,75.3,73.0,66.7,23,14,3,0,24,56,2.45,8,0.35,16,10,8,4,10,2,8,0,505,23,50,195,263,116,19,31.6,36.8,300,820,28,17,14,31,22,358,88,33,45,17,0,59,39,58,40.2
Jonny Evans,NIR,Manchester Utd,DF,37-122,6,3,290,0,0,1,0,0.1,0.0,1,8,2,0.0,0.0,0.03,0.0,N/a,N/a,N/a,N/a,0.0,0.31,0.0,8.4,174,88.8,2809,94.3,90.0,50.0,0,9,1,0,8,2,0.62,0,0.0,7,5,2,2,2,1,1,4,223,30,125,91,11,2,1,100.0,0.0,128,183,1,0,0,1,0,137,2,5,6,0,0,15,8,3,72.7
Eberechi Eze,ENG,Crystal Palace,MFFW,26-310,30,28,2337,4,8,1,0,8.2,5.2,65,85,141,0.15,0.31,0.31,0.2,N/a,N/a,N/a,N/a,25.8,3.58,0.04,21.5,707,74.6,11848,85.3,83.4,43.2,53,46,32,3,85,119,4.58,9,0.35,37,22,17,18,26,0,26,11,1289,15,172,611,537,86,125,48.8,45.6,771,2178,65,43,21,52,44,840,141,11,46,9,100,128,6,36,14.3
Łukasz Fabiański,PL,West Ham,GK,40-017,13,12,1070,0,0,2,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,1.68,74.6,N/a,0.0,N/a,0.0,N/a,N/a,304,67.0,8756,100.0,99.3,41.3,0,4,0,0,0,3,0.25,0,0.0,0,0,0,1,0,0,0,0,488,382,483,5,0,0,2,100.0,0.0,258,845,0,0,0,0,0,227,0,2,1,0,0,5,2,1,66.7
Wout Faes,BE,Leicester City,DF,27-032,31,27,2545,1,0,4,0,1.4,0.1,12,80,1,0.04,0.0,0.05,0.0,N/a,N/a,N/a,N/a,9.1,0.39,0.09,10.0,1252,87.7,23226,93.8,95.0,53.7,4,79,6,0,80,17,0.6,0,0.0,39,23,23,20,45,33,12,26,1735,277,852,824,67,26,6,83.3,16.7,1011,2703,12,13,2,16,6,1154,1,21,10,1,5,87,41,34,54.7
Evan Ferguson,IE,Brighton,FW,20-198,13,2,246,1,0,0,0,0.5,0.4,2,1,9,0.37,0.0,0.2,0.15,N/a,N/a,N/a,N/a,28.6,2.56,0.14,19.2,43,74.1,484,86.1,72.7,25.0,3,1,0,0,1,4,1.47,0,0.0,4,3,2,3,3,1,2,0,88,7,13,50,26,9,2,50.0,50.0,42,56,2,1,2,5,6,52,9,3,1,0,0,10,4,9,30.8
Bruno Fernandes,PT,Manchester Utd,MF,30-239,33,32,2758,8,9,4,2,9.5,7.6,65,281,118,0.26,0.29,0.31,0.25,N/a,N/a,N/a,N/a,30.1,2.71,0.06,21.9,1522,75.2,26743,86.7,80.4,52.6,84,176,73,11,281,169,5.51,12,0.39,76,47,29,46,32,4,28,25,2394,59,398,1130,888,71,65,41.5,49.2,1379,3436,65,60,11,38,37,1665,118,26,37,2,172,192,21,28,42.9
Mateus Fernandes,PT,Southampton,MF,20-299,33,31,2640,2,3,8,0,3.8,2.6,73,131,102,0.07,0.1,0.13,0.09,N/a,N/a,N/a,N/a,35.9,1.33,0.05,18.5,1003,79.9,16952,87.9,85.6,55.3,31,91,21,4,131,71,2.42,6,0.2,86,46,33,31,40,6,34,21,1619,59,345,800,511,46,99,45.5,45.5,836,2981,73,66,8,52,33,1000,102,42,53,4,104,165,13,9,59.1
Enzo Fernández,AR,Chelsea,MF,24-108,33,29,2677,6,7,7,0,6.0,6.5,57,199,116,0.2,0.24,0.2,0.22,N/a,N/a,N/a,N/a,37.3,1.71,0.12,18.2,1429,80.0,25393,89.0,85.0,58.0,73,156,39,7,199,141,4.74,16,0.54,63,32,31,52,36,7,29,13,2070,36,327,1049,708,76,46,45.7,39.1,1135,2574,57,53,8,27,27,1520,116,47,48,1,105,147,14,28,33.3
Mark Flekken,NL,Brentford,GK,31-326,34,34,3005,0,2,1,0,0.0,0.5,0,0,0,0.0,0.06,0.0,0.02,1.53,73.1,N/a,0.0,N/a,0.0,N/a,N/a,1179,73.4,34812,97.9,97.5,49.9,3,47,2,0,0,10,0.3,2,0.06,4,4,3,6,2,0,2,0,1707,1338,1660,52,0,0,1,100.0,0.0,1045,3005,0,0,0,3,0,953,0,0,3,0,0,37,4,0,100.0
Phil Foden,ENG,Manchester City,MFFW,24-342,26,19,1693,7,2,2,0,5.1,4.7,47,95,119,0.37,0.11,0.27,0.25,N/a,N/a,N/a,N/a,30.8,2.76,0.13,18.5,743,84.0,11571,90.6,89.2,59.6,42,40,35,5,95,84,4.47,9,0.48,12,5,7,10,12,1,11,9,1076,13,81,375,629,79,39,33.3,53.8,677,1676,47,30,15,35,30,842,119,5,32,3,73,59,3,8,27.3
Wesley Fofana,FR,Chelsea,DF,24-139,14,14,1172,0,0,7,0,0.4,0.4,19,32,4,0.0,0.0,0.03,0.03,N/a,N/a,N/a,N/a,0.0,0.23,0.0,10.6,724,90.2,12262,93.9,92.5,61.9,6,54,1,0,32,15,1.15,0,0.0,13,12,6,8,14,9,5,14,933,81,370,523,55,10,15,53.3,20.0,557,1614,19,12,1,16,5,665,4,24,16,0,1,54,27,12,69.2
Carlos Forbs,PT,Wolves,MFFW,21-047,10,1,239,0,0,2,0,0.1,0.0,10,8,28,0.0,0.0,0.05,0.01,N/a,N/a,N/a,N/a,0.0,0.75,0.0,19.1,60,65.9,788,76.5,73.1,20.0,1,2,3,1,8,5,1.89,1,0.38,8,5,4,2,3,0,3,1,121,3,23,39,60,13,12,58.3,41.7,75,321,10,3,8,7,4,85,28,2,1,0,9,11,1,3,25.0
Fraser Forster,ENG,Tottenham,GK,37-049,7,7,630,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,2.14,69.0,N/a,0.0,N/a,0.0,N/a,N/a,168,84.8,3349,98.2,95.6,48.9,0,1,0,0,0,0,0.0,0,0.0,0,0,0,1,0,0,0,0,228,212,228,0,0,0,1,100.0,0.0,113,264,0,0,0,1,0,94,0,0,0,0,0,1,1,0,100.0
Ryan Fraser,SCT,Southampton,FWDF,31-070,8,4,306,0,0,0,1,0.0,0.1,10,8,18,0.0,0.0,0.01,0.03,N/a,N/a,N/a,N/a,100.0,0.29,0.0,31.6,77,74.8,1121,93.5,70.0,30.0,2,3,1,0,8,5,1.47,0,0.0,6,2,4,2,1,1,0,1,131,12,45,50,37,3,3,66.7,33.3,74,252,10,5,2,4,2,94,18,1,4,1,12,10,2,3,40.0
Tyler Fredricson,ENG,Manchester Utd,DF,20-071,2,2,165,0,0,0,0,0.0,0.0,2,8,0,0.0,0.0,0.0,0.0,N/a,N/a,N/a,N/a,N/a,0.0,N/a,N/a,110,90.2,1932,94.0,91.5,88.9,0,8,0,0,8,3,1.63,0,0.0,5,3,1,1,2,0,2,1,141,11,64,68,9,1,1,100.0,0.0,86,114,2,1,0,2,0,95,0,0,2,0,0,12,7,5,58.3
João Félix,PT,Chelsea,FWMF,25-176,12,3,369,1,1,2,0,2.2,1.0,21,26,30,0.24,0.24,0.54,0.23,N/a,N/a,N/a,N/a,25.0,4.88,0.05,15.9,171,85.9,2588,90.5,91.2,66.7,6,22,8,0,26,18,4.38,3,0.73,8,3,5,4,2,0,2,3,272,2,26,128,125,30,31,32.3,45.2,193,712,21,13,5,6,4,218,30,6,17,1,0,22,4,5,44.4
Niclas Füllkrug,DE,West Ham,FW,32-085,15,5,668,3,2,2,0,2.0,1.9,6,11,25,0.4,0.27,0.27,0.25,N/a,N/a,N/a,N/a,35.7,1.89,0.21,10.2,102,65.4,1367,75.9,58.7,44.4,13,10,4,0,11,19,2.56,2,0.27,2,2,2,1,1,0,1,0,217,14,19,111,88,35,5,20.0,60.0,87,172,6,3,2,14,5,159,25,17,5,9,1,12,31,45,40.8
Cody Gakpo,NL,Liverpool,FW,25-363,32,20,1717,9,3,5,0,6.5,3.5,51,52,253,0.47,0.16,0.34,0.18,N/a,N/a,N/a,N/a,41.2,2.67,0.18,15.2,439,75.8,6279,86.6,66.5,54.8,33,22,27,8,52,71,3.72,7,0.37,26,14,11,12,19,2,17,11,795,21,75,230,506,90,51,56.9,29.4,540,1974,51,32,20,38,20,606,253,17,25,5,68,66,15,24,38.5
Andrés García,ES,Aston Villa,DFMF,22-087,7,5,318,0,0,0,0,0.0,0.2,26,15,28,0.0,0.0,0.01,0.05,N/a,N/a,N/a,N/a,0.0,0.57,0.0,26.6,174,86.6,2725,92.7,90.2,53.8,3,9,8,5,15,3,0.85,0,0.0,9,5,4,4,2,0,2,2,256,8,38,108,112,2,18,27.8,66.7,159,673,26,13,2,10,6,168,28,1,0,0,18,15,0,6,0.0
Alejandro Garnacho,AR,Manchester Utd,MFFW,20-308,34,23,2146,6,2,3,0,7.2,4.5,139,56,281,0.25,0.08,0.3,0.19,N/a,N/a,N/a,N/a,34.9,3.48,0.07,17.2,635,79.1,8921,88.6,82.9,60.0,35,21,24,4,56,81,3.4,6,0.25,29,18,12,24,19,0,19,13,1132,13,128,360,662,170,87,29.9,60.9,819,3176,139,72,66,63,48,864,281,12,41,10,52,108,3,23,11.5
James Garner,ENG,Everton,MFDF,24-053,18,14,1324,0,1,3,0,0.3,1.3,12,46,22,0.0,0.07,0.02,0.09,N/a,N/a,N/a,N/a,28.6,0.48,0.0,24.1,504,75.0,8821,85.2,83.5,46.5,12,50,6,3,46,33,2.24,5,0.34,41,27,19,16,15,3,12,17,819,36,196,417,213,9,16,37.5,62.5,399,684,12,15,1,12,7,451,22,18,14,0,52,64,10,8,55.6
Tyrique George,ENG,Chelsea,FW,19-090,7,0,103,1,1,1,0,0.2,0.7,9,2,18,0.87,0.87,0.17,0.63,N/a,N/a,N/a,N/a,33.3,2.62,0.33,15.0,38,82.6,494,91.3,82.4,0.0,5,0,1,0,2,6,5.24,1,0.87,2,0,2,1,0,0,0,1,56,1,10,14,33,8,4,75.0,25.0,38,208,9,1,5,1,0,44,18,2,0,1,3,3,0,3,0.0
Morgan Gibbs-White,ENG,Nott'ham Forest,MF,25-098,30,30,2451,5,7,10,1,4.7,4.5,63,145,116,0.18,0.26,0.17,0.16,N/a,N/a,N/a,N/a,34.0,1.95,0.09,17.0,861,78.1,13218,85.1,81.0,58.1,46,114,35,7,145,101,3.71,17,0.62,39,18,15,15,14,4,10,18,1427,33,169,721,560,86,75,40.0,45.3,811,2350,63,46,12,66,39,1071,116,33,36,7,37,114,37,47,44.0
Billy Gilmour,SCT,Brighton,MF,23-328,2,1,98,0,0,0,0,0.1,0.0,2,11,2,0.0,0.0,0.07,0.0,N/a,N/a,N/a,N/a,0.0,0.92,0.0,25.5,58,86.6,980,94.7,81.8,57.1,0,12,2,0,11,3,2.76,0,0.0,3,3,3,1,1,0,1,0,73,2,14,46,13,0,2,50.0,50.0,44,117,2,0,0,0,0,58,2,2,3,0,1,5,0,0,N/a
Ben Godfrey,ENG,Ipswich Town,DF,27-110,3,2,159,0,0,1,0,0.0,0.0,2,4,1,0.0,0.0,0.0,0.0,N/a,N/a,N/a,N/a,N/a,0.0,N/a,N/a,47,82.5,657,90.9,88.9,N/a,0,5,1,0,4,1,0.57,0,0.0,1,0,1,0,1,1,0,2,68,6,26,33,9,1,0,N/a,N/a,33,79,2,2,0,2,1,42,1,1,0,0,0,2,3,0,100.0
