Name,Nationality,Team,Position,Age,Games,Games_starts,Minutes,Goals,Assists,Cards_yellow,Cards_red,Xg,Xg_assist,Progressive_carries,Progressive_passes,Progressive_passes_received,Goals_per90,Assists_per90,Xg_per90,Xg_assist_per90,Gk_goals_against_per90,Gk_save_pct,Gk_clean_sheet_pct,Gk_pens_save_pct,Shots_on_target_pct,Shots_per90,Goals_per_shot,Average_shot_distance,Passes_completed,Passes_pct,Passes_total_distance,Passes_pct_short,Passes_pct_medium,Passes_pct_long,Assisted_shots,Passes_into_final_third,Passes_into_penalty_area,Crosses_into_penalty_area,Progressive_passes,Sca,Sca_per90,Gca,Gca_per90,Tackles,Tackles_won,Challenge_tackles,Challenges_lost,Blocks,Blocked_shots,Blocked_passes,Interceptions,Touches,Touches_def_pen_area,Touches_def_3rd,Touches_mid_3rd,Touches_att_3rd,Touches_att_pen_area,Take_ons,Take_ons_won_pct,Take_ons_tackled_pct,Carries,Carries_progressive_distance,Progressive_carries,Carries_into_final_third,Carries_into_penalty_area,Miscontrols,Dispossessed,Passes_received,Progressive_passes_received,Fouls,Fouled,Offsides,Crosses,Ball_recoveries,Aerials_won,Aerials_lost,Aerials_won_pct
Cameron Archer,ENG,Southampton,FW,23-288,32,13,1373,2,0,0,0,5.1,0.4,19,14,64,0.13,0.0,0.33,0.02,N/a,N/a,N/a,N/a,33.3,1.77,0.07,13.1,189,81.1,2474,85.6,91.4,55.6,3,6,7,0,14,17,1.12,0,0.0,11,7,2,7,5,1,4,2,362,16,59,161,145,50,32,43.8,53.1,210,499,19,9,14,34,25,256,64,16,12,7,3,34,8,28,22.2
Alphonse Areola,FR,West Ham,GK,32-067,24,23,2080,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,1.69,62.9,N/a,N/a,N/a,0.0,N/a,N/a,633,69.3,16971,99.3,95.3,42.2,0,10,0,0,0,3,0.13,0,0.0,2,2,2,1,0,0,0,0,967,769,958,10,0,0,0,N/a,N/a,553,1201,0,0,0,0,0,510,0,0,0,0,0,27,2,0,100.0
Joe Aribo,NG,Southampton,MFDF,28-288,30,20,1909,3,0,1,0,2.7,1.6,35,71,64,0.14,0.0,0.13,0.07,N/a,N/a,N/a,N/a,41.2,0.8,0.18,14.0,878,88.5,13041,91.3,90.9,68.9,16,50,4,1,71,37,1.75,1,0.05,44,30,17,17,24,9,15,20,1203,46,288,632,294,44,46,39.1,47.8,708,1923,35,28,12,25,16,879,64,20,28,1,10,110,25,21,54.3
Adam Armstrong,ENG,Southampton,FWMF,28-084,20,15,1248,2,2,4,0,3.3,1.2,25,21,79,0.14,0.14,0.24,0.09,N/a,N/a,N/a,N/a,28.0,1.8,0.08,16.6,231,80.2,3320,87.3,85.3,46.2,9,10,8,2,21,19,1.37,4,0.29,12,3,3,11,6,1,5,3,377,11,44,143,192,49,14,42.9,57.1,235,599,25,13,6,11,18,286,79,12,5,9,14,23,5,9,35.7
Kepa Arrizabalaga,ES,Bournemouth,GK,30-214,28,28,2520,0,0,3,0,0.1,0.0,0,2,0,0.0,0.0,0.0,0.0,1.25,75.4,N/a,0.0,0.0,0.04,0.0,9.7,671,71.9,18595,98.1,98.3,47.8,1,9,0,0,2,4,0.14,0,0.0,1,0,0,2,1,0,1,0,990,732,961,28,1,1,1,100.0,0.0,557,1588,0,0,0,0,0,435,0,2,5,0,0,52,7,1,87.5
Marco Asensio,ES,Aston Villa,MFFW,29-104,10,6,540,3,1,1,0,4.2,0.8,16,34,26,0.5,0.17,0.7,0.14,N/a,N/a,N/a,N/a,47.1,2.83,0.18,18.9,185,80.4,2637,90.7,84.4,29.4,13,15,8,2,34,27,4.5,3,0.5,7,5,3,6,2,0,2,1,287,4,26,119,147,24,14,50.0,35.7,177,500,16,18,4,6,8,200,26,8,7,2,23,22,0,1,0.0
Taiwo Awoniyi,NG,Nott'ham Forest,FW,27-266,25,3,408,1,0,0,0,2.1,0.1,6,7,20,0.22,0.0,0.47,0.02,N/a,N/a,N/a,N/a,40.0,2.21,0.1,12.6,61,64.2,705,72.4,56.0,20.0,2,5,2,0,7,9,1.98,1,0.22,6,3,4,1,1,0,1,0,166,5,16,78,73,21,9,44.4,55.6,89,183,6,5,2,19,19,112,20,8,10,1,2,18,13,38,25.5
Yasin Ayari,SE,Brighton,MF,21-211,31,19,1759,1,1,3,0,2.2,2.2,30,69,59,0.05,0.05,0.11,0.11,N/a,N/a,N/a,N/a,28.0,1.28,0.04,19.0,713,81.2,10693,91.5,84.7,37.1,28,52,17,4,69,58,2.97,6,0.31,54,29,21,30,23,6,17,20,1119,52,247,569,320,43,41,41.5,36.6,585,1398,30,25,6,34,21,716,59,33,23,3,64,107,14,20,41.2
Jordan Ayew,GH,Leicester City,FWMF,33-236,27,16,1425,5,0,5,0,3.0,1.0,42,37,77,0.32,0.0,0.19,0.06,N/a,N/a,N/a,N/a,28.6,1.77,0.14,18.8,353,72.9,5238,86.5,73.7,38.9,14,22,12,7,37,35,2.21,2,0.13,24,13,6,13,16,0,16,12,708,18,92,356,282,49,59,39.0,50.8,425,1281,42,31,9,52,34,474,77,29,48,6,57,87,33,54,37.9
Rayan Aït-Nouri,DZ,Wolves,DF,23-333,34,34,2865,4,7,7,1,2.6,4.7,79,100,158,0.13,0.22,0.08,0.15,N/a,N/a,N/a,N/a,23.5,1.07,0.12,14.9,1309,83.9,18002,93.4,86.7,40.7,36,67,27,9,100,78,2.45,12,0.38,82,52,41,26,40,6,34,24,1944,86,535,827,605,84,116,48.3,39.7,1006,2850,79,54,24,43,44,1181,158,30,39,5,86,133,20,28,41.7
